surface,operation,name,handler,file,line,schema
REST/WS,POST,/bhm/entity-catalog/get,bhm_entity_catalog_get,src/blackholememory/app.py,15609,default
REST/WS,POST,/bhm/entity-catalog/rebuild,bhm_entity_catalog_rebuild,src/blackholememory/app.py,15614,default
REST/WS,POST,/bhm/project-summary/compare,bhm_project_summary_compare,src/blackholememory/app.py,15619,default
REST/WS,POST,/bhm/memory/usage-stats,bhm_memory_usage_stats,src/blackholememory/app.py,15624,default
REST/WS,POST,/bhm/recent-failures-feed,bhm_recent_failures_feed,src/blackholememory/app.py,15629,default
REST/WS,POST,/bhm/memory/restore-hard-deleted-preview,bhm_memory_restore_hard_deleted_preview,src/blackholememory/app.py,15634,default
REST/WS,POST,/bhm/artifact/delete,bhm_artifact_delete,src/blackholememory/app.py,15639,default
REST/WS,POST,/bhm/artifact/list-by-type,bhm_artifact_list_by_type,src/blackholememory/app.py,15644,default
REST/WS,POST,/bhm/artifact/usage-stats,bhm_artifact_usage_stats,src/blackholememory/app.py,15649,default
REST/WS,POST,/bhm/memory/gc-candidates,bhm_memory_gc_candidates,src/blackholememory/app.py,15654,default
REST/WS,POST,/bhm/memory/compaction-report,bhm_memory_compaction_report,src/blackholememory/app.py,15659,default
REST/WS,POST,/bhm/link/cycle-detect,bhm_link_cycle_detect,src/blackholememory/app.py,15664,default
REST/WS,POST,/bhm/link/orphan-scan,bhm_link_orphan_scan,src/blackholememory/app.py,15669,default
REST/WS,POST,/bhm/project-map/compare,bhm_project_map_compare,src/blackholememory/app.py,15674,default
REST/WS,POST,/bhm/validation/trend-report,bhm_validation_trend_report,src/blackholememory/app.py,15679,default
REST/WS,POST,/bhm/entity/search,bhm_entity_search,src/blackholememory/app.py,15684,default
REST/WS,POST,/bhm/entity/link-memories,bhm_entity_link_memories,src/blackholememory/app.py,15689,default
REST/WS,POST,/bhm/alias/stats,bhm_alias_stats,src/blackholememory/app.py,15694,default
REST/WS,POST,/bhm/relation/prune-low-quality,bhm_relation_prune_low_quality,src/blackholememory/app.py,15699,default
REST/WS,POST,/bhm/project-similarity-report,bhm_project_similarity_report,src/blackholememory/app.py,15704,default
REST/WS,POST,/bhm/memory/changelog,bhm_memory_changelog,src/blackholememory/app.py,15709,default
REST/WS,POST,/bhm/review-queue/apply,bhm_review_queue_apply,src/blackholememory/app.py,15714,default
REST/WS,POST,/bhm/triage-queue/apply,bhm_triage_queue_apply,src/blackholememory/app.py,15719,default
REST/WS,POST,/bhm/artifact/batch-delete,bhm_artifact_batch_delete,src/blackholememory/app.py,15724,default
REST/WS,POST,/bhm/artifact/batch-relink,bhm_artifact_batch_relink,src/blackholememory/app.py,15729,default
REST/WS,POST,/bhm/artifact/batch-restore,bhm_artifact_batch_restore,src/blackholememory/app.py,15734,default
REST/WS,POST,/bhm/schema/validate-strict,bhm_schema_validate_strict,src/blackholememory/app.py,15739,default
REST/WS,POST,/bhm/integrity/repair-strict,bhm_integrity_repair_strict,src/blackholememory/app.py,15744,default
REST/WS,POST,/bhm/memory/normalize-metadata,bhm_memory_normalize_metadata,src/blackholememory/app.py,15749,default
REST/WS,POST,/bhm/admin/export,bhm_admin_export,src/blackholememory/app.py,15754,default
REST/WS,POST,/bhm/admin/import-preview,bhm_admin_import_preview,src/blackholememory/app.py,15759,default
REST/WS,POST,/bhm/admin/import-apply,bhm_admin_import_apply,src/blackholememory/app.py,15764,default
REST/WS,GET,/bhm/policy/profile,bhm_policy_profile_get,src/blackholememory/app.py,15769,default
